site_type,Coordination_Number,Pt1,Fe1,Co1,Ni1,Cu1,Zn1,Pt2,Fe2,Co2,Ni2,Cu2,Zn2,Pt3,Fe3,Co3,Ni3,Cu3,Zn3,Pt_Ratio,Fe_Ratio,Co_Ratio,Ni_Ratio,Cu_Ratio,Zn_Ratio
FeCo,8,0,1,1,0,0,0,0,1,3,0,0,2,3,1,1,0,1,0,0.25,0.15625,0.375,0.03125,0.03125,0.15625
FeZn,8,0,1,0,0,0,1,0,1,2,2,0,1,3,0,1,1,0,1,0.25,0.1875,0.125,0.21875,0.03125,0.1875
FeNi,8,0,1,0,1,0,0,0,1,2,1,0,2,3,0,1,1,0,1,0.25,0.1875,0.125,0.21875,0.03125,0.1875
ZnZn,8,0,0,0,0,0,2,0,2,2,2,0,0,3,1,0,1,0,1,0.25,0.1875,0.125,0.21875,0.03125,0.1875
NiNi,8,0,0,0,2,0,0,0,2,2,0,0,2,3,0,1,1,0,1,0.25,0.1875,0.125,0.21875,0.03125,0.1875
FeNi,8,0,1,0,1,0,0,0,1,2,1,0,2,3,1,1,0,0,1,0.25,0.1875,0.125,0.21875,0.03125,0.1875
NiZn,8,0,0,0,1,0,1,0,2,2,1,0,1,3,0,1,1,0,1,0.25,0.1875,0.125,0.21875,0.03125,0.1875
CoNi,8,0,0,1,1,0,0,0,2,1,1,0,2,3,1,1,0,0,1,0.25,0.1875,0.125,0.21875,0.03125,0.1875
FeNi,8,0,1,0,1,0,0,0,1,3,1,1,0,3,1,1,1,0,0,0.25,0.21875,0.25,0.15625,0.0625,0.0625
FeFe,8,0,2,0,0,0,0,0,0,3,2,1,0,3,1,1,1,0,0,0.25,0.21875,0.25,0.15625,0.0625,0.0625
FeCu,8,0,1,0,0,1,0,0,1,3,2,0,0,3,1,1,0,1,0,0.25,0.21875,0.25,0.15625,0.0625,0.0625
FeCo,8,0,1,1,0,0,0,0,1,2,2,1,0,3,1,0,1,1,0,0.25,0.21875,0.25,0.15625,0.0625,0.0625
CoNi,8,0,0,1,1,0,0,0,2,2,1,1,0,3,0,1,1,1,0,0.25,0.21875,0.25,0.15625,0.0625,0.0625
FeCo,8,0,1,1,0,0,0,0,1,2,2,1,0,3,1,1,0,1,0,0.25,0.21875,0.25,0.15625,0.0625,0.0625
FeNi,8,0,1,0,1,0,0,0,1,4,1,0,0,3,1,1,1,0,0,0.25,0.25,0.28125,0.09375,0.03125,0.09375
CoNi,8,0,0,1,1,0,0,0,2,3,1,0,0,3,1,1,1,0,0,0.25,0.25,0.28125,0.09375,0.03125,0.09375
FeCo,8,0,1,1,0,0,0,0,1,3,2,0,0,3,1,1,1,0,0,0.25,0.25,0.28125,0.09375,0.03125,0.09375
FeCo,8,0,1,1,0,0,0,0,1,3,2,0,0,3,1,1,1,0,0,0.25,0.25,0.28125,0.09375,0.03125,0.09375
FeFe,8,0,2,0,0,0,0,0,2,2,0,0,2,3,1,1,0,0,1,0.25,0.25,0.28125,0.09375,0.03125,0.09375
ZnZn,8,0,0,0,0,0,2,0,4,2,0,0,0,3,1,0,0,1,1,0.25,0.25,0.28125,0.09375,0.03125,0.09375
FeFe,8,0,2,0,0,0,0,0,2,0,1,3,0,3,1,0,1,0,1,0.25,0.28125,0.0625,0.125,0.15625,0.125
FeCu,8,0,1,0,0,1,0,0,3,0,1,2,0,3,0,0,1,1,1,0.25,0.28125,0.0625,0.125,0.15625,0.125
NiCu,8,0,0,0,1,1,0,0,4,0,0,2,0,3,1,0,1,0,1,0.25,0.28125,0.0625,0.125,0.15625,0.125
FeNi,8,0,1,0,1,0,0,0,3,0,0,3,0,3,1,0,0,1,1,0.25,0.28125,0.0625,0.125,0.15625,0.125
FeCu,8,0,1,0,0,1,0,0,3,0,1,2,0,3,1,0,1,0,1,0.25,0.28125,0.0625,0.125,0.15625,0.125
FeNi,8,0,1,0,1,0,0,0,3,0,0,3,0,3,1,0,1,0,1,0.25,0.28125,0.0625,0.125,0.15625,0.125
NiCu,8,0,0,0,1,1,0,0,4,0,0,2,0,3,1,0,0,1,1,0.25,0.28125,0.0625,0.125,0.15625,0.125
FeFe,8,0,2,0,0,0,0,0,2,0,1,3,0,3,0,0,1,1,1,0.25,0.28125,0.0625,0.125,0.15625,0.125
FeCu,8,0,1,0,0,1,0,0,3,0,1,2,0,3,1,0,1,1,0,0.25,0.28125,0.0625,0.125,0.15625,0.125
FeCu,8,0,1,0,0,1,0,0,1,2,2,1,0,3,1,0,0,1,1,0.25,0.28125,0.09375,0.1875,0.09375,0.09375
NiCu,8,0,0,0,1,1,0,0,2,2,1,1,0,3,1,0,0,1,1,0.25,0.28125,0.09375,0.1875,0.09375,0.09375
FeNi,8,0,1,0,1,0,0,0,1,2,1,2,0,3,1,0,1,0,1,0.25,0.28125,0.09375,0.1875,0.09375,0.09375
CuCu,8,0,0,0,0,2,0,0,2,2,2,0,0,3,0,0,1,1,1,0.25,0.28125,0.09375,0.1875,0.09375,0.09375
CoNi,8,0,0,1,1,0,0,0,2,1,1,2,0,3,1,0,1,1,0,0.25,0.28125,0.09375,0.1875,0.09375,0.09375
FeCo,8,0,1,1,0,0,0,0,1,1,2,2,0,3,1,0,1,1,0,0.25,0.28125,0.09375,0.1875,0.09375,0.09375
NiNi,8,0,0,0,2,0,0,0,4,0,0,0,2,3,1,1,1,0,0,0.25,0.28125,0.09375,0.1875,0.09375,0.09375
NiZn,8,0,0,0,1,0,1,0,4,0,1,0,1,3,2,0,1,0,0,0.25,0.28125,0.09375,0.1875,0.09375,0.09375
NiNi,8,0,0,0,2,0,0,0,3,1,1,1,0,3,1,0,1,0,1,0.25,0.3125,0.03125,0.125,0.15625,0.125
NiNi,8,0,0,0,2,0,0,0,3,1,1,1,0,3,1,0,1,1,0,0.25,0.3125,0.03125,0.125,0.15625,0.125
FeCu,8,0,1,0,0,1,0,0,3,0,0,1,2,3,2,0,0,0,1,0.25,0.3125,0.03125,0.125,0.15625,0.125
CuZn,8,0,0,0,0,1,1,0,4,0,0,1,1,3,2,0,0,0,1,0.25,0.3125,0.03125,0.125,0.15625,0.125
CuCu,8,0,0,0,0,2,0,0,4,0,0,0,2,3,1,0,0,1,1,0.25,0.3125,0.03125,0.125,0.15625,0.125
FeCu,8,0,1,0,0,1,0,0,3,0,0,1,2,3,1,0,0,1,1,0.25,0.3125,0.03125,0.125,0.15625,0.125
FeFe,8,0,2,0,0,0,0,0,2,0,0,2,2,3,1,0,0,1,1,0.25,0.3125,0.03125,0.125,0.15625,0.125
FeZn,8,0,1,0,0,0,1,0,3,0,0,2,1,3,2,0,0,1,0,0.25,0.3125,0.03125,0.125,0.15625,0.125
FeFe,8,0,2,0,0,0,0,0,2,0,0,2,2,3,2,0,0,1,0,0.25,0.3125,0.03125,0.125,0.15625,0.125
FeZn,8,0,1,0,0,0,1,0,3,0,0,2,1,3,1,0,0,1,1,0.25,0.3125,0.03125,0.125,0.15625,0.125
FeCo,8,0,1,1,0,0,0,0,3,1,1,1,0,3,1,0,1,0,1,0.25,0.34375,0.1875,0.0625,0.03125,0.125
FeFe,8,0,2,0,0,0,0,0,2,2,1,1,0,3,1,1,1,0,0,0.25,0.34375,0.1875,0.0625,0.03125,0.125
FeNi,8,0,1,0,1,0,0,0,3,2,0,1,0,3,1,1,1,0,0,0.25,0.34375,0.1875,0.0625,0.03125,0.125
FeFe,8,0,2,0,0,0,0,0,2,2,1,1,0,3,1,0,1,0,1,0.25,0.34375,0.1875,0.0625,0.03125,0.125
NiCu,8,0,0,0,1,1,0,0,4,2,0,0,0,3,1,1,1,0,0,0.25,0.34375,0.1875,0.0625,0.03125,0.125
FeCu,8,0,1,0,0,1,0,0,3,2,1,0,0,3,1,1,0,0,1,0.25,0.34375,0.1875,0.0625,0.03125,0.125
FeCo,8,0,1,1,0,0,0,0,3,1,1,1,0,3,0,1,1,0,1,0.25,0.34375,0.1875,0.0625,0.03125,0.125
FeFe,8,0,2,0,0,0,0,0,2,0,0,4,0,3,2,0,1,0,0,0.25,0.375,0.03125,0.03125,0.28125,0.03125
FeFe,8,0,2,0,0,0,0,0,2,0,0,4,0,3,1,0,1,1,0,0.25,0.375,0.03125,0.03125,0.28125,0.03125
CuCu,8,0,0,0,0,2,0,0,4,0,0,2,0,3,2,0,1,0,0,0.25,0.375,0.03125,0.03125,0.28125,0.03125
CuCu,8,0,0,0,0,2,0,0,4,0,0,2,0,3,1,0,1,1,0,0.25,0.375,0.03125,0.03125,0.28125,0.03125
FeNi,8,0,1,0,1,0,0,0,3,0,1,2,0,3,2,1,0,0,0,0.25,0.375,0.09375,0.125,0.125,0.03125
NiCu,8,0,0,0,1,1,0,0,4,0,1,1,0,3,2,1,0,0,0,0.25,0.375,0.09375,0.125,0.125,0.03125
NiNi,8,0,0,0,2,0,0,0,4,0,0,2,0,3,1,1,0,0,1,0.25,0.375,0.09375,0.125,0.125,0.03125
FeFe,8,0,2,0,0,0,0,0,1,0,3,2,0,3,1,1,0,0,1,0.25,0.375,0.09375,0.125,0.125,0.03125
FeNi,8,0,1,0,1,0,0,0,3,0,1,2,0,3,1,1,0,0,1,0.25,0.375,0.09375,0.125,0.125,0.03125
FeNi,8,0,1,0,1,0,0,0,3,0,1,2,0,3,1,1,0,0,1,0.25,0.375,0.09375,0.125,0.125,0.03125
FeZn,8,0,1,0,0,0,1,0,2,0,0,2,2,3,2,0,0,0,1,0.25,0.40625,0.03125,0.03125,0.0625,0.21875
CuZn,8,0,0,0,0,1,1,0,4,0,0,1,1,3,3,0,0,0,0,0.25,0.40625,0.03125,0.03125,0.0625,0.21875
FeZn,8,0,1,0,0,0,1,0,3,0,0,2,1,3,3,0,0,0,0,0.25,0.40625,0.03125,0.03125,0.0625,0.21875
CuCu,8,0,0,0,0,2,0,0,4,0,0,0,2,3,2,0,0,0,1,0.25,0.40625,0.03125,0.03125,0.0625,0.21875
NiZn,8,0,0,0,1,0,1,0,5,0,1,0,0,3,2,0,0,0,1,0.25,0.4375,0.0625,0.09375,0.03125,0.125
FeZn,8,0,1,0,0,0,1,0,4,0,2,0,0,3,2,0,0,0,1,0.25,0.4375,0.0625,0.09375,0.03125,0.125
FeZn,8,0,1,0,0,0,1,0,4,0,2,0,0,3,2,0,0,0,1,0.25,0.4375,0.0625,0.09375,0.03125,0.125
