site_type,Coordination_Number,Pt1,Fe1,Co1,Ni1,Cu1,Zn1,Pt2,Fe2,Co2,Ni2,Cu2,Zn2,Pt3,Fe3,Co3,Ni3,Cu3,Zn3,Pt_Ratio,Fe_Ratio,Co_Ratio,Ni_Ratio,Cu_Ratio,Zn_Ratio
CoCu,8,0,0,1,0,1,0,0,0,3,0,1,2,3,0,2,0,1,0,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
CoCo,8,0,0,2,0,0,0,0,0,2,0,2,2,3,0,1,0,1,1,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
CoCu,8,0,0,1,0,1,0,0,0,3,0,1,2,3,0,1,0,1,1,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
PtCu,8,1,0,0,0,1,0,3,0,2,0,0,1,0,1,4,1,0,0,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
PtCu,8,1,0,0,0,1,0,3,0,2,0,0,1,0,1,3,1,0,1,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
PtCo,8,1,0,1,0,0,0,3,0,1,0,1,1,0,1,3,1,0,1,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
PtZn,8,1,0,0,0,0,1,3,0,2,0,1,0,0,1,2,1,0,2,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
PtZn,8,1,0,0,0,0,1,3,0,2,0,1,0,0,0,3,1,0,2,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
PtCo,8,1,0,1,0,0,0,3,0,2,0,1,0,0,0,4,0,0,2,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
PtCo,8,1,0,1,0,0,0,3,0,2,0,1,0,0,0,5,0,0,1,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
PtCu,8,1,0,0,0,1,0,3,0,3,0,0,0,0,0,5,0,0,1,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
PtCo,8,1,0,1,0,0,0,3,0,2,0,1,0,0,0,4,0,0,2,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
PtCu,8,1,0,0,0,1,0,3,0,3,0,0,0,0,0,4,0,0,2,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoZn,8,0,0,1,0,0,1,0,0,5,0,0,1,3,0,2,0,0,1,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoZn,8,0,0,1,0,0,1,0,0,5,0,0,1,3,0,2,0,0,1,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoZn,8,0,0,1,0,0,1,0,0,5,0,0,1,3,0,2,0,0,1,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoCo,8,0,0,2,0,0,0,0,0,4,0,0,2,3,0,2,0,0,1,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoCo,8,0,0,2,0,0,0,0,0,4,0,0,2,3,0,2,0,0,1,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CuZn,8,0,0,0,0,1,1,0,0,1,3,0,2,3,1,0,1,0,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
CoZn,8,0,0,1,0,0,1,0,0,0,3,1,2,3,0,1,1,0,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
NiCu,8,0,0,0,1,1,0,0,0,1,2,0,3,3,1,0,1,0,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
ZnZn,8,0,0,0,0,0,2,0,0,1,3,1,1,3,0,1,1,0,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
NiZn,8,0,0,0,1,0,1,0,0,1,2,1,2,3,1,1,1,0,0,0.25,0.0625,0.09375,0.25,0.09375,0.25
NiNi,8,0,0,0,2,0,0,0,0,1,1,1,3,3,1,0,1,0,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
NiZn,8,0,0,0,1,0,1,0,0,1,2,1,2,3,1,0,1,0,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
NiNi,8,0,0,0,2,0,0,0,0,1,1,1,3,3,1,1,1,0,0,0.25,0.0625,0.09375,0.25,0.09375,0.25
NiZn,8,0,0,0,1,0,1,0,0,1,2,1,2,3,1,1,0,0,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtCo,8,1,0,1,0,0,0,3,0,0,1,1,1,0,0,1,3,1,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtCo,8,1,0,1,0,0,0,3,0,0,1,1,1,0,0,1,2,1,2,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtZn,8,1,0,0,0,0,1,3,0,1,1,1,0,0,0,1,2,0,3,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtCu,8,1,0,0,0,1,0,3,0,1,1,0,1,0,0,1,3,0,2,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtNi,8,1,0,0,1,0,0,3,0,1,0,1,1,0,0,0,2,1,3,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtCu,8,1,0,0,0,1,0,3,0,1,1,0,1,0,0,1,2,1,2,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtNi,8,1,0,0,1,0,0,3,0,1,0,1,1,0,0,0,3,1,2,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtZn,8,1,0,0,0,0,1,3,1,1,0,1,0,0,0,1,0,1,4,0.25,0.0625,0.1875,0.0625,0.125,0.3125
PtFe,8,1,1,0,0,0,0,3,0,1,0,1,1,0,1,1,0,1,3,0.25,0.0625,0.1875,0.0625,0.125,0.3125
PtCo,8,1,0,1,0,0,0,3,1,0,0,1,1,0,0,2,0,0,4,0.25,0.0625,0.1875,0.0625,0.125,0.3125
