site_type,label
PtCu,0.65193076
CoCu,0.3533573
CoZn,0.47370989
PtCo,0.66615548
PtZn,0.64922023
CoNi,0.22905163
NiNi,0.0911207
NiCu,0.41318944
NiNi,0.18136332
PtNi,0.69061143
NiNi,0.16537109
PtCu,0.7586787
FeCu,0.10002268
CuCu,0.57379983
CuCu,0.43651965
CoNi,0.14454331
FeCo,-0.0616129
FeNi,0.24487587
PtCo,0.54468381
PtFe,0.35766983
CoZn,0.5083444
CuZn,0.45125933
CoZn,0.58368126
CoZn,0.5074972
PtZn,0.66583439
ZnZn,0.57574827
CuZn,0.66515578
PtCo,0.68248371
CoCu,0.43997206
CuCu,0.61628321
PtCu,0.54056177
CoCu,0.16495335
CoCo,0.09003941
CoZn,0.47865463
ZnZn,0.56795124
ZnZn,0.62186965
PtZn,0.71578083
PtCo,0.56526459
PtZn,0.62652185
CoZn,0.49255701
FeCo,0.02628569
CoZn,0.51809829
PtFe,0.30355727
FeCu,0.08095247
CoCo,0.08485923
CoCo,-0.04035181
FeCo,-0.0369572
CoCo,0.0516543
PtFe,0.39477758
CoCo,-0.05326584
CoCo,-0.04542524
CoCo,-0.0057669
PtZn,0.63469462
CoCo,0.10346878
CoNi,0.15844139
CoNi,0.1813924
CoCo,-0.0587184
CoCo,0.11290294
PtNi,0.55835655
PtCo,0.49977527
CoNi,0.04692373
FeFe,-0.38171484
PtFe,0.29915655
PtCu,0.63792035
ZnZn,0.66459414
FeNi,0.06675488
PtZn,0.68336586
PtNi,0.72495862
ZnZn,0.55417546
PtZn,0.74818477
ZnZn,0.64290253
NiZn,0.54341863
CoNi,0.19576646
CoCu,0.13546691
FeCo,-0.08031842
PtCo,0.38121449
CuZn,0.69663479
CuZn,0.51631712
FeCu,0.23428116
FeZn,0.51787755
PtCo,0.71363848
PtFe,0.50111647
PtCu,0.8043119
PtCu,0.75960748
CoZn,0.66260811
CuZn,0.5776688
NiZn,0.54796579
PtZn,0.91486236
NiCu,0.42597772
FeNi,0.21149178
PtNi,0.6554912
NiZn,0.54050781
PtZn,0.63056353
PtCo,0.69165028
CoZn,0.48370744
CoNi,0.03622281
CoCo,0.05534109
CoNi,0.03774392
CoZn,0.47267419
CoNi,0.03591599
CoCo,0.202438
CoCo,0.08973786
PtCu,0.72894688
PtCo,0.58846119
NiNi,0.39329714
PtNi,0.48610258
CoCu,0.20051567
CoCu,0.21592152
PtFe,0.33178397
FeCo,-0.15206213
FeNi,-0.0379342
CuCu,0.45309976
NiCu,0.37623419
PtCu,0.57457389
PtNi,0.50991965
CoCo,0.08569929
PtCo,0.45154657
FeZn,0.3238374
NiZn,0.37190974
FeCu,0.14706351
CoNi,0.21890696
FeCo,-0.13678222
PtFe,0.29247694
NiNi,0.14464155
PtCu,0.67413226
NiNi,0.29768452
NiNi,0.14252393
CoNi,0.21278951
PtCo,0.47817188
FeFe,-0.10320394
CoZn,0.46582832
CoCo,0.07130232
CoCu,0.32580704
PtCo,0.37847937
FeCo,-0.095876
PtFe,0.23635198
FeNi,-0.14369181
NiCu,0.42531084
FeFe,-0.26278502
FeNi,0.04970634
NiNi,0.38778905
PtCu,0.53185505
PtFe,0.39109972
FeZn,0.29489027
FeNi,0.11083073
NiZn,0.54037042
PtZn,0.82633826
NiNi,0.264051
PtNi,0.48972132
CoZn,0.57663148
CuCu,0.48325479
PtCo,0.46934668
PtFe,0.2767257
PtCu,0.67241317
CuCu,0.55997982
CoCu,0.24141232
ZnZn,0.5578482
CuCu,0.51343614
FeFe,-0.26059924
FeZn,0.38273017
PtFe,0.49165933
CoNi,0.19029113
PtZn,0.58861321
CoZn,0.50146258
FeZn,0.22578413
NiNi,0.1136065
CuZn,0.70808891
FeCu,0.08572776
PtCu,0.75325544
NiNi,0.21452021
CoNi,0.12552121
CoNi,-0.07767507
NiCu,0.38932842
PtZn,0.76009241
CoZn,0.43646428
FeCu,0.09470247
